Name;ERD;OSB
650C  Zipp 310 38mm deep carbon tubular;520;0
650C  Zipp 330 58mm deep carbon tubular;484;0
650C  Zipp 400 58mm deep carbon tubular;482;0
28"  Wood, unknown make, vintage 1900 or so.;622.3;0
24"  Accel ;481;0
24"  Araya ADX-4;506;0
24"  Araya NEWADX-1S;503.2;0
24"  Araya SA-230S Super Aero (30mm deep);478.2;0
24"  Mavic CX18 ;517;0
24"  Mavic GL330 ;517;0
24"  Mavic Mach 2 ;504;0
24"  Sun M17A;509;0
24"  Sun M17A;512;0
24"  Sun M17A;509;0
24"  Sun M17A;512;0
24"  Sun M17A;509;0
24"  Sun M17A;512;0
24"  Sun M19A ;502;0
24"  Sun M19AII (532 mm OD);503;0
24"  Wolber Profil 18 ;511;0
20"  Araya NEWADX-1S;409;0
20"  Sun M17A;411;0
20"  Sun M17A;441;0
20"  Sun M17A;411;0
20"  Sun M17A;441;0
20"  Sun M17A;411;0
20"  Sun M17A;441;0
20"  Sun M19A, M19AII (432 mm OD);402;0
18"  Sun M19A, M19AII (382 mm OD);352;0
16"  Sun M19A, M19AII (331 mm OD);298;0
27"  Ambrosio Aero Elite (rim washers);611;0
27"  Ambrosio Elite (single eyelets);620;0
27"  Araya 16A(3);623;0
27"  Araya 16A(5);622;0
27"  Araya 20A;618;0
27"  Araya ADX-1W ;617;0
27"  Araya ADX-2W;610;0
27"  Araya LP-60;616.4;0
27"  Araya SP-30;622;0
27"  Araya SS-40;618;0
27"  Araya SS-45;621;0
27"  Araya TF-110;616.4;0
27"  Araya W/O-2 steel;618.4;0
27"  Dunlop Special Lightweight;623;0
27"  Fiamme 71-Sport;609;0
27"  Fiamme 80-Elan;603;0
27"  Matrix Aurora ;617.85;0
27"  Matrix ISO C;605;0
27"  Matrix ISO CII;609;0
27"  Matrix Titan;618;0
27"  Matrix Titan T (touring);622;0
27"  Mavic E2, G40, Mod E;620;0
27"  Mavic MA single eyelets;618;0
27"  Mavic MA2;618;0
27"  Mavic MA40;618;0
27"  Mavic Mod 3;618;0
27"  Mavic Mod 4;618;0
27"  Performance TR22 ;618;0
27"  Rigida 1320 ;617;0
27"  Rigida AS 23 X (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);621.2;0
27"  Rigida steel Superchromix 1.25 ;621;0
27"  Specialized Saturae C20;622;0
27"  Specialized Saturae C22;622;0
27"  Specialized Saturae HC19;622;0
27"  Sun C16;619;0
27"  Sun CR16;615;0
27"  Sun CRE16;617;0
27"  Sun CRT16II;617;0
27"  Sun D253;619;0
27"  Sun L13;618;0
27"  Sun L17, L20;620;0
27"  Sun M13;618;0
27"  Sun M13II;619;0
27"  Sun M13L ;618;0
27"  Sun M14A;611;0
27"  Sun M14A (old);614;0
27"  Sun M17;620;0
27"  Sun M20;620;0
27"  Sun M20A;619;0
27"  Sun M25 ;619;0
27"  Super Champ Competition;623;0
27"  Velocity Twin Hollow;619;0
27"  Weinmann 2115 ;621;0
27"  Weinmann A129 ;624;0
27"  Wolber M58, GTA , GTX ;620;0
27"  Wolber/Super Champion Gentleman 81;620;0
27"  Wolber/Super Champion Gentleman GTA2;622;0
27"  Wolber/Super Champion Gentleman GTX;622;0
27"  Wolber/Super Champion Module 58;622;0
27"  Wolber/Super Champion Module 59;622;0
27"  Wolber/Super Champion T430 Alpine;622;0
700C  Alesa 913!;600;0
700C  Alex DA22;600;0
700C  Alex DV15;606;0
700C  Alex G6000 22mm wide x 29mm deep, 686g;583.8;0
700C  Alex R390 (19.6mm wide, 19.1mm tall, double eyelets, 480g);601;0
700C  Alex R390 19.6w x 19.1h, double eyelets;603;0
700C  Ambrosio Aero Elite;605;0
700C  Ambrosio Area 4 (Touring/Trekking);601;0
700C  Ambrosio B.8 (Touring/Trekking);607;0
700C  Ambrosio Balance 20w x 22h - MEASURE ERD TO BE SURE!;601;0
700C  Ambrosio Balance 20w x 22h - MEASURE ERD TO BE SURE!;594;0
700C  Ambrosio C.C.28 (Touring/Trekking);602.5;0
700C  Ambrosio Camel (Touring/Trekking);588;0
700C  Ambrosio Elite;614;0
700C  Ambrosio Elite City 22;613;0
700C  Ambrosio Elite Prisma;608;0
700C  Ambrosio Eurosport (Touring/Trekking);606;0
700C  Ambrosio Evolution;606;0
700C  Ambrosio Excellence;606;0
700C  Ambrosio Excellence;601.5;0
700C  Ambrosio Excellight S.S.C.;600;0
700C  Ambrosio Excursion;600.5;0
700C  Ambrosio FCS 28;590;0
700C  Ambrosio Keba (Touring/Trekking)!;598;0
700C  Ambrosio Nexus;608.4;0
700C  Ambrosio Super Elite;615;0
700C  Ambrosio The Frog (Touring/Trekking);601;0
700C  American Classic carbon fiber V rim by Zipp;528;0
700C  American Classic CR-350, new 24mm deep model;590.5;0
700C  American Classic Design's "CR350";598;0
700C  Araya 15;615;0
700C  Araya 16A(3);616;0
700C  Araya 16A(5);615;0
700C  Araya 18;616;0
700C  Araya 20A;611;0
700C  Araya ADX-1W;607;0
700C  Araya ADX-2W;602;0
700C  Araya ADX-510;600.3;0
700C  Araya CT19;611;0
700C  Araya CTL185;609;0
700C  Araya CTL-370;611;0
700C  Araya CTL385 ;609;0
700C  Araya PX35;614;0
700C  Araya PX-645;610.4;0
700C  Araya RC-540;606.3;0
700C  Araya RT-520;612.4;0
700C  Araya SA-530C Super Aero clincher (30mm deep);580;0
700C  Araya SP-20;615;0
700C  Araya SP-30;613;0
700C  Araya SS-40;611;0
700C  Araya SS-45;614;0
700C  Araya TX-310F;610.4;0
700C  Araya TX350;611;0
700C  Araya VX300 ;614;0
700C  Araya VX400;614;0
700C  Bontrager PN 220421 Race X-Lite road ;595;0
700C  Bontrager PN 220429 Race Lite road OSB;598;1.52
700C  Bontrager PN 220437 Select OSB;604.1;1.5
700C  Bontrager PN 220472 Race Tubeless 29" OSB rim brake compatible ;607;2.5
700C  Bontrager PN 221715 Race Lite Tandem;580;0
700C  Bontrager PN 221850 Race Lite Tubeless 29" OSB rim brake compatible;607;2.5
700C  Bontrager PN 231404 Race X-Light Aero aluminum clincher;598;0
700C  Bontrager PN 240064 RXXXL OCLV Carbon Tubular Front/Rear with SS washer (.82mm thick);593.64;0
700C  Bontrager PN 240064 RXXXL OCLV Carbon Tubular Front/Rear with SS washer (.82mm thick);591.99;0
700C  Bontrager PN 242752, R455 (04 Select Rd. extrusion);596;0
700C  Bontrager PN 243628 Race Lite OSB 29";607;2.5
700C  Bontrager PN 250032 RXXXL OCLV Carbon Clincher Front w/SS washer (.82mm thick);589.18;0
700C  Bontrager PN 250033 RXXXL OCLV Carbon Clincher OSB Rear w/SS washer (.82mm thick);589.18;2
700C  Bontrager PN 981886 Clyde (24mm wide);607;0
700C  Bontrager PN 992115, 994103 Fairlane symmetric;607;0
700C  Bontrager PN 992116, 994305 Fairlane OSB;607;2.5
700C  Bontrager RXL Carbon Clincher Front PROTOTYPE;590.5;0
700C  Bontrager RXL Carbon Clincher Rear OSB PROTOTYPE;593.5;1.5
700C  Bontrager RXL OCLV Carbon Tubular Front/Rear Prototype;586.15;0
700C  Campagnolo Amber ;611;0
700C  Campagnolo Atlanta '96 (about 30mm tall);575;0
700C  Campagnolo Delta XL, Omega XL, Lambda, Omicron box (very low profile);614;0
700C  Campagnolo Gamma box;612;0
700C  Campagnolo Helsinki '52;612;0
700C  Campagnolo Lambda "V" profile  (about 21mm tall);600;0
700C  Campagnolo Melbourne '56;612;0
700C  Campagnolo Mexico '68 "V" profile (about 23mm tall);600;0
700C  Campagnolo Montreal '76 box style;608;0
700C  Campagnolo Montreal '76, new style (beveled semi-aero);603;0
700C  Campagnolo Moskva '80 ;601;0
700C  Campagnolo Munchen '72;618;0
700C  Campagnolo Omega "V" profile (about 21mm tall);600;0
700C  Campagnolo Omega 19 box style (about 19mm wide);608;0
700C  Campagnolo Omega Strada and Strada Hardox box style (about 20mm wide);613;0
700C  Campagnolo Roma '60;612;0
700C  Campagnolo Strada ;614;0
700C  Campagnolo Tokyo '64 ;609;0
700C  Campagnolo Topaz ;613;0
700C  Campagnolo XL Strada ;614;0
700C  Campagnolo Ypsilon "V" profile (about 21mm tall);600;0
700C  Campagnolo Ypsilon box;615;0
700C  da Vinci V22 http://www.davincitandems.com/;596.5;0
700C  DT Swiss RR 1.1;599;0
700C  DT Swiss TK 7.1;600;0
700C  Fiamme 80-Elan;611;0
700C  FiR Antara 2000;562;0
700C  FiR EA10 ;600;0
700C  FiR EA50;610;0
700C  FiR EA60 ;610;0
700C  FiR EA61;608;0
700C  FiR EA65 ;609;0
