Name;ERD;OSB
650C  Mavic Open Pro (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);554;0
650C  Rigida DP 18;530.7;0
650C  Rigida NOVA R (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);551.7;0
650C  Rolf Vector Pro, Araya rim, including 9mm Greer nipple + 4mm washer;551.7;0
650C  Rolf Vector Pro, Trek made. For Greer internal nipples, no washers;546;0
650C  Sun Ascent;552;0
650C  Sun M13II;560;0
650C  Sun M13L ;561;0
650C  Sun M14A;552;0
650C  Sun ME14A;549;0
650C  Sun Venus (medium deep aero);540;0
650C  Velocity Aerohead (20mm wide x 19mm deep, 2001) MEASURE TO BE SURE!;558;0
650C  Velocity Aerohead (20mm wide x 21mm deep);554;0
650C  Velocity Deep V (19mm wide x 30mm deep);531;0
650C  Velocity Razor (like Mavic Open Pro);556;0
650C  Zipp 370 40mm deep carbon/aluminum clincher;518;0
650C  Zipp 460 58mm deep carbon/aluminum clincher;477;0
650C  Zipp 500 58mm deep carbon/aluminum clincher;482;0
26" MTB  Alex DX32;553;0
26" MTB  Araya Big Willie MG2000;538.6;0
26" MTB  Araya GP-710;549.3;0
26" MTB  Araya RB-17;498.7;0
26" MTB  Araya RM14;547;0
26" MTB  Araya RM17;547;0
26" MTB  Araya RM20;547;0
26" MTB  Araya RM25;547;0
26" MTB  Araya RM395;547;0
26" MTB  Araya RM400;547;0
26" MTB  Araya RM-915DH;547.2;0
26" MTB  Araya RM-930DISC;539.6;0
26" MTB  Araya TM-840F;549.3;0
26" MTB  Araya VP20;547;0
26" MTB  Araya XA-1;543;0
26" MTB  Atomic Trailpimp;522;0
26" MTB  Avenir Duro 17 ;545;0
26" MTB  Bontrager BCX Blue ;545;0
26" MTB  Bontrager BCX Red;545;0
26" MTB  Bontrager BCX1, BCX2, BCX3 ;553;0
26" MTB  Bontrager PN 201752 Mustang OSB Disc;539;2.5
26" MTB  Bontrager PN 211931 Mustang tubeless;542;0
26" MTB  Bontrager PN 220459 Race Mod Tubeless front;542;0
26" MTB  Bontrager PN 220481 Race Mod Disc specific;539;2.5
26" MTB  Bontrager PN 231248 Race X-Lite OSB;543;2.5
26" MTB  Bontrager PN 231714 Race X-Lite symmetrical;538;0
26" MTB  Bontrager PN 982951 Valiant symmetrical;539;0
26" MTB  Bontrager PN 984037 Maverick symmetrical;545;0
26" MTB  Bontrager PN 984038 Maverick OSB;545;2.5
26" MTB  Bontrager PN 984039 Mustang OSB;545;2.5
26" MTB  Bontrager PN 984042 Clyde;545;0
26" MTB  Bontrager PN 984238 Mustang symmetrical;545;0
26" MTB  Bontrager PN 984574 Valiant OSB;545;2.5
26" MTB  Bontrager PN 992201Corvair symmetrical;545;0
26" MTB  Bontrager PN 993524 Corvair OSB;545;2.5
26" MTB  Bontrager RaceLite Asym rear;545;2.5
26" MTB  Bontrager RaceLite front;542;0
26" MTB  Bontrager TubeLess Disc, OSB, SSD=534.5+3mm for eyelettes;537.5;2.5
26" MTB  Bontrager, PN 221723, Mustang OSB, Tubeless;542;2.5
26" MTB  Bontrager, PN 231323, Mustang, Front, Tubeless, lightweight extrusion;539;0
26" MTB  Bontrager, PN 231327, Mustang, Disc, Tubeless;537;2.5
26" MTB  Bontrager/Mavic MA2, MA40 ;549;0
26" MTB  Bontrager/Weinmann BCR1;552;0
26" MTB  Breezer Backdraft ;547;0
26" MTB  Campagnolo Aconcagua;541;0
26" MTB  Campagnolo Alpha XL;553;0
26" MTB  Campagnolo Atek;541;0
26" MTB  Campagnolo Beta;551;0
26" MTB  Campagnolo Contax ;539;0
26" MTB  Campagnolo Everest;546;0
26" MTB  Campagnolo K2 ;519;0
26" MTB  Campagnolo Kappa;548;0
26" MTB  Campagnolo Kilimangiaro;542;0
26" MTB  Campagnolo Mirox;542;0
26" MTB  Campagnolo Stheno;540;0
26" MTB  Campagnolo Thorr ;540;0
26" MTB  Campagnolo Zark ;543;0
26" MTB  Campagnolo Zeta;546;0
26" MTB  DT Swiss E 540 Enduro disc;537;0
26" MTB  DT Swiss EX 5.1d (disc brakes);539;0
26" MTB  DT Swiss FR 6.1d (disc brakes);535;0
26" MTB  DT Swiss XR 4.1 (rim or disc brakes);538;0
26" MTB  DT Swiss XR 4.1d (disc brakes);538;0
26" MTB  DT Swiss XR 4.1 ceramic;538;0
26" MTB  DT Swiss X 450 MTB non disc;539;0
26" MTB  DT Swiss X 450 MTB disc;540;0
26" MTB  FiR MS26, Downhill (same w/ machined sidewalls);545;0
26" MTB  FiR MT 232;543;0
26" MTB  FiR W 400;535;0
26" MTB  IRD Tsunami;530;0
26" MTB  IRD Tsunami disk;528;0
26" MTB  K525;538;0
26" MTB  Matrix 750 (22mm w x 20.5mm deep);544.34;0
26" MTB  Matrix ISO C;535;0
26" MTB  Matrix ISO CII;539;0
26" MTB  Matrix Lobo;551;0
26" MTB  Matrix Mt. Titan ;547;0
26" MTB  Matrix S T Comp ;546;0
26" MTB  Matrix Single Track;541;0
26" MTB  Matrix Swami ;546;0
26" MTB  Mavic 117;541;0
26" MTB  Mavic 121 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);544;0
26" MTB  Mavic 217 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);539;0
26" MTB  Mavic 217D;540.5;0
26" MTB  Mavic 220 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);543;0
26" MTB  Mavic 221 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);543.5;0
26" MTB  Mavic 238 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);544.5;0
26" MTB  Mavic 238N;543;0
26" MTB  Mavic D3.1;534.5;0
26" MTB  Mavic D321 Disc (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);537.5;0
26" MTB  Mavic D521 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);535;0
26" MTB  Mavic Energie M217;540;0
26" MTB  Mavic Energie M7;540;0
26" MTB  Mavic EX 325 Disc;536.5;0
26" MTB  Mavic EX 721;534.5;0
26" MTB  Mavic EX 729 Disc;537;0
26" MTB  Mavic EX 823 Disc;534.5;0
26" MTB  Mavic EX 823 Disc 05;530.5;0
26" MTB  Mavic F 219 Disc;538.5;0
26" MTB  Mavic F519;538.5;0
26" MTB  Mavic F519;543;0
26" MTB  Mavic M230 ;546;0
26" MTB  Mavic M231;548;0
26" MTB  Mavic M238;544;0
26" MTB  Mavic M261;548;0
26" MTB  Mavic M281 ;545;0
26" MTB  Mavic MA40;550;0
26" MTB  Mavic Oxygen M6 ;542;0
26" MTB  Mavic Rando M4;550;0
26" MTB  Mavic Rando M5;548;0
26" MTB  Mavic T519;540.2;0
26" MTB  Mavic X138 eyelets (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);543;0
26" MTB  Mavic X138N no eyelets (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);543;0
26" MTB  Mavic X139N no eyelets;548;0
26" MTB  Mavic X221 eyelets (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);543.5;0
26" MTB  Mavic X221N no eyelets (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);542.5;0
26" MTB  Mavic X222 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);542.5;0
26" MTB  Mavic X223 Disc (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);539;0
26" MTB  Mavic X225;540.5;0
26" MTB  Mavic X3.1;534.5;0
26" MTB  Mavic X3.1 Disc;534.5;0
26" MTB  Mavic X3.1 UST disc specific. 16 to 18mm nipples required.;532;0
26" MTB  Mavic X317 Disc (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);541.5;0
26" MTB  Mavic X517 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);540.5;0
26" MTB  Mavic X618;541;0
26" MTB  Mavic XC 317 Disc;541;0
26" MTB  Mavic XC 717 Disc;541;0
26" MTB  Mavic XC717;541;0
26" MTB  Mavic XM 117;542.5;0
26" MTB  Mavic XM 117 Disc;548;0
26" MTB  Mavic XM 317 Disc;538.5;0
26" MTB  Mavic XM 321 Disc;538.5;0
26" MTB  Mavic XM 517;540.5;0
26" MTB  Mavic XM 719;538.5;0
26" MTB  Mavic XM 819;534.5;0
26" MTB  Mavic XM 819 Disc;534.5;0
26" MTB  NOTUBES ZTR 355;540;0
26" MTB  NOTUBES ZTR Freeride;545;0
26" MTB  NOTUBES ZTR Olympic;536;0
26" MTB  Rigida ARIES (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);541;0
26" MTB  Rigida AS 26 F (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);548.4;0
26" MTB  Rigida AS 26 FL (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);548.4;0
26" MTB  Rigida DH 30 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);539.85;0
26" MTB  Rigida DP 2000 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);521;0
26" MTB  Rigida DP 22 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);519.6;0
26" MTB  Rigida DP 25 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);532;0
26" MTB  Rigida GENIUS (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);534;0
26" MTB  Rigida GRIFFIN (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);544.1;0
26" MTB  Rigida GRIZZLY (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);539.6;0
26" MTB  Rigida LIBRA (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);547.4;0
26" MTB  Rigida M 19 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);549;0
26" MTB  Rigida M 21 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);549;0
26" MTB  Rigida MENSA (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);547.1;0
26" MTB  Rigida NORMA (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);547.1;0
26" MTB  Rigida OLYMPUS (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);531.9;0
26" MTB  Rigida ORION (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);547.4;0
26" MTB  Rigida PHOENIX (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);541;0
26" MTB  Rigida SIRIUS (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);547.4;0
26" MTB  Rigida SLP (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);547;0
26" MTB  Rigida steel Superchromix 1.75 ;549;0
26" MTB  Rigida TAURUS (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);543.4;0
26" MTB  Rigida TAURUS 2000 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);540.1;0
26" MTB  Rigida TUB 25 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);539.9;0
26" MTB  Rigida TUB 26 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);539.9;0
26" MTB  Rigida TUCANA (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);543.2;0
26" MTB  Rigida TURBO (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);537.2;0
26" MTB  Rigida X PLORER (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);529.4;0
26" MTB  Rigida XC 420 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);543.8;0
26" MTB  Rigida ZAC 2000+D574;536.5;0
26" MTB  Rigida/Weinmann ZAC 19 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);544;0
26" MTB  Ritchey Disc OCR (ERD is Nipple Seat Dia + 3mm for nipples);546;2.5
26" MTB  Ritchey OCR Comp (ERD is Nipple Seat Dia + 3mm for nipples);545;2.5
26" MTB  Ritchey OCR Pro (ERD is Nipple Seat Dia + 3mm for nipples);545;2.5
26" MTB  Ritchey OCR WCS (ERD is Nipple Seat Dia + 3mm for nipples);545;2.5
26" MTB  Ritchey Rock 395;546;0
26" MTB  Ritchey Rock 415;546;0
26" MTB  Ritchey Rock 440SC ;546;0
26" MTB  Ritchey Rock Comp (ERD is Nipple Seat Dia + 3mm for nipples);548;0
26" MTB  Ritchey Rock Pro (ERD is Nipple Seat Dia + 3mm for nipples);548;0
26" MTB  Ritchey Rock WCS (ERD is Nipple Seat Dia + 3mm for nipples);548;0
26" MTB  Ritchey Vantage Comp;548;0
26" MTB  Ritchey Vantage Cross-Sport ;549;0
26" MTB  Ritchey Vantage Expert ;544;0
26" MTB  Ritchey Vantage Pro ;545;0
26" MTB  Ritchey Vantage Sport;548;0
26" MTB  Salsa Delgado 22.5mm wide;543;0
26" MTB  Salsa Gordo 27mm wide;545;0
26" MTB  Salsa Semi 24mm wide;544;0
26" MTB  Snow Cat ASYM (44mm wide);554;8.8
26" MTB  Snow Cat SYM (44mm wide);554;0
26" MTB  Specialized GX23;547;0
26" MTB  Specialized GX26;546;0
26" MTB  Specialized Saturne HX22;555;0
26" MTB  Specialized Saturne HX28;544;0
26" MTB  Specialized Saturne HX32;548;0
26" MTB  Specialized Saturne X22;555;0
26" MTB  Specialized Saturne X28;544;0
26" MTB  Specialized Saturne X32;548;0
26" MTB  Specialized X26;547;0
26" MTB  Specialized XL21;546;0
26" MTB  Specialized XL23 ;546;0
26" MTB  Specialized Z21 ;545;0
26" MTB  Sun 0 degree Lite;544;0
26" MTB  Sun 0 degree XC;544;0
26" MTB  Sun AT18 ;549;0
26" MTB  Sun Buzz MTB;471;0
26" MTB  Sun C16;547;0
26" MTB  Sun C20;547;0
26" MTB  Sun C20 tandem ;549;0
26" MTB  Sun CR16;547;0
26" MTB  Sun CR17A;545;0
26" MTB  Sun CR18, single eyelets;544;0
26" MTB  Sun CR20 ;545;0
26" MTB  Sun CRE16;548;0
26" MTB  Sun CRT16;547;0
26" MTB  Sun CRT16II;548;0
26" MTB  Sun CRT17A;545;0
26" MTB  Sun DoubleWide;541;0
26" MTB  Sun DS1-XC;548;0
26" MTB  Sun L18;547;0
26" MTB  Sun L20 Style I;549;0
26" MTB  Sun L25;550;0
26" MTB  Sun M13L ;549;0
26" MTB  Sun M14A;539;0
26" MTB  Sun M25;550;0
26" MTB  Sun Mammoth BFR (Big Fat Rim);548;0
26" MTB  Sun ME14A;534;0
26" MTB  Sun Phat Albert;547;0
26" MTB  Sun Rhyno ;541;0
26" MTB  Sun Rhyno Lite (Damon measured Nov. 06 2002);553.4;0
26" MTB  Sun Rhyno Lite (newer version and XL-1.75 version);541;0
26" MTB  Sun Rhyno Lite (XL version);544;0
26" MTB  Sun Rhyno Lite MEASURE TO BE SURE!;548;0
26" MTB  Sun SST20;541;0
26" MTB  Sun Sub IV;544;0
26" MTB  Synchros Lil' Snapper;542;0
26" MTB  Tioga XC;547;0
26" MTB  Velocity Aero Heat AT (24mm wide x 22mm deep);536;0
26" MTB  Velocity Cliff Hanger (28mm wide x 25mm deep);531;0
26" MTB  Velocity Deep V (24mm wide x 32mm deep);517;0
26" MTB  Velocity K525 (21mm wide x 21mm deep);538;0
26" MTB  Velocity Mt. GoAT (25mm wide x 18mm deep);542;0
26" MTB  Velocity Synergy (23mm wide x 20mm deep, symmetrical and asymmetrical);540;0
26" MTB  Velocity Triple V (26mm wide x 17mm deep);547;0
26" MTB  Vuelta Airline 1;529.3;0
26" MTB  Vuelta Excalibur DiscDH 559x27;540.9;0
26" MTB  Vuelta Excalibur DiscFR 559x21;543.6;0
26" MTB  Vuelta Excalibur DiscXC 559x21;543.5;0
26" MTB  Vuelta Strong, no eyelets;547.1;0
26" MTB  Vuelta Vision 559x18;543.2;0
26" MTB  Weinmann Mod 2719 ;545;0
26" MTB  Wheelsmith Cowpie ;551;0
26" MTB  Wheelsmith Speedcow ;546;0
26" MTB  Wolber AT15;551;0
26" MTB  Wolber AT18;550;0
26" MTB  Wolber AT20 ;547;0
26" MTB  Wolber Canyon ;548;0
26" MTB  WTB Dual Duty 30x11.8 (32h, 30mm wide);536;0
26" MTB  WTB LaserBeam 22x11.8 (32h, 22mm wide);541;0
26" MTB  WTB LaserBeam 25x11.3 (32h, 25mm wide);538;0
26" MTB  WTB LaserDisc DH 36x0 (32h, 36mm wide);540;0
26" MTB  WTB LaserDisc XC 24x0 (32h, 24mm wide);542;0
26" MTB  WTB PowerBeam ;548;0
26" MTB  WTB PowerBeam (old);545;0
26" MTB  WTB SpeedDisc XC 24x0 (32h, 24mm wide);541;0
26" MTB  WTB SpeedMaster 23x11.3 (32h, 23mm wide) ;541;0
26" MTB  WTB SpeedMaster 25mm ;552;0
26" MTB  WTB SpeedMaster II ;549;0
26"  Bontrager PN 230855 Race Lite Disc Tubeless OSB;540;2.5
600A  Rigida AS 23 X (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);532.2;0
24x1 3/8  Rigida AS 23 X (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);531.1;0
24x1 3/8  Sun C20;528;0
24x1 3/8  Sun CR16;527;0
24x1 3/8  Sun CR18, single eyelets;532;0
24x1 3/8  Sun CR20 ;529;0
24x1 3/8  Sun L17;530;0
24x1 3/8  Sun L20;529;0
24x1 3/8  Sun M13II;530;0
24x1 3/8  Sun M13L ;528;0
24x1 3/8  Sun M14A;522;0
24x1 3/8  Wolber GTA;530;0
24x1 1/8  Araya 20A ;508.1;0
24x1 1/8  Mavic Open 4 CD ;500;0
24x1 1/8  Sun L25, M25;507;0
24x1 1/8  Sun M13II;509;0
24x1 1/8  Sun M13L ;510;0
24x1 1/8  Sun M14A;502;0
24x1 1/8  Sun M25 ;507;0
24x1 1/8  Sun ME14A;496;0
24" BMX  Araya 7X ;497;0
24" BMX  Araya RB-17;498.7;0
24" BMX  Araya RB-907X/Super7X;499;0
24" BMX  Araya RM20 ;496;0
24" BMX  Araya VP-20;498.7;0
24" BMX  Bontrager Mack;495;0
24" BMX  Mavic XY;492.5;0
24" BMX  Rigida AS 26 FL (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);497;0
24" BMX  Rigida DH 30 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);487.4;0
24" BMX  Rigida M 19 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);497.8;0
24" BMX  Rigida M 21 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);497.8;0
24" BMX  Sun CR16;494;0
24" BMX  Sun CR18, single eyelets;493;0
24" BMX  Sun CR20 ;493;0
24" BMX  Sun CRE16, CRT16II;493;0
24" BMX  Sun DS1-XC;492;0
24" BMX  Sun ICI-1;507;0
24" BMX  Sun L18;493;0
24" BMX  Sun L20;497;0
24" BMX  Sun L25, M25;497;0
24" BMX  Sun M14A;491;0
24" BMX  Sun M25 ;497;0
24" BMX  Sun Mammoth BFR (Big Fat Rim);492;0
24" BMX  Sun Rhyno Lite;493;0
24" BMX  Sun Rhyno Lite (newer version);486;0
24" BMX  Velocity Aero Heat AT;483;0
24" BMX  Velocity Deep V (24mm wide x 32mm deep);464.5;0
24" BMX  Velocity TAIPAN;480;0
24" BMX  Velocity Triple V ;495.5;0
550A  Rigida AS 23 X (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);481;0
20x1 1/8  Araya 20A ;438.7;0
20x1 1/8  Rigida AS 26 FL (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);433;0
20x1 1/8  Sun CR16;439;0
20x1 1/8  Sun CR18, single eyelets;438;0
20x1 1/8  Sun CR20 ;435;0
20x1 1/8  Sun ICI-1;438;0
20x1 1/8  Sun L17;441;0
20x1 1/8  Sun L20;441;0
20x1 1/8  Sun M13II;440;0
20x1 1/8  Sun M13L ;441;0
20x1 1/8  Sun M14A;432;0
20x1 1/8  Sun M17 ;440;0
20x1 1/8  Sun ME14A;426;0
20x1 1/8  Velocity Aerohead (20mm wide x 21mm deep);429;0
500A  Rigida AS 23 X (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);431.3;0
500A  Weinmann;436;0
20" BMX  ACS Z ;392;0
20" BMX  Alesa Explorer;378;0
20" BMX  Answer Aero Tech;376.9;0
20" BMX  Araya GP-710;393;0
20" BMX  Araya MP-707X;396.4;0
20" BMX  Araya RB-17;379;0
20" BMX  Araya RB-907X/Super7X;377.9;0
20" BMX  Araya RB-J1/HIMIKO;382;0
20" BMX  Araya TB-807X/Ultra7X;392.3;0
20" BMX  Bontrager Mack;390;0
20" BMX  Mavic Xx (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);399;0
20" BMX  Mavic Xy (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);392;0
20" BMX  Mavic XZ;387.5;0
20" BMX  Rigida AS 26 FL (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);395.2;0
20" BMX  Rigida M 19 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);395.85;0
20" BMX  Rigida M 21 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);395.85;0
20" BMX  Rigida X PLORER (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);376;0
20" BMX  Sun AT18 ;395;0
20" BMX  Sun Big City;389;0
20" BMX  Sun CR16;393;0
20" BMX  Sun CR18, single eyelets;395;0
20" BMX  Sun CR20 ;392;0
20" BMX  Sun CRE16, CRT16II;390;0
20" BMX  Sun L17;395;0
20" BMX  Sun L18;390;0
20" BMX  Sun L20;395;0
20" BMX  Sun L25, M25;395;0
20" BMX  Sun M20;395;0
20" BMX  Sun M25 ;395;0
20" BMX  Sun Mammoth BFR (Big Fat Rim);394;0
20" BMX  Sun Rhyno ;392;0
20" BMX  Sun Rhyno Lite;395;0
20" BMX  Sun Rhyno Lite;395;0
20" BMX  Sun Rhyno Lite;393;0
20" BMX  Sun SST20;392;0
20" BMX  Velocity Aero Heat AT;383;0
20" BMX  Velocity Deep V (24mm wide x 32mm deep);364;0
20" BMX  Velocity TAIPAN;380;0
20" BMX  Velocity Triple V ;395;0
20" BMX  Vuelta Airline 1;376.9;0
20" BMX  Weinmann A129 ;400;0
20" BMX  Weinmann Zac19 ;387;0
17x1 1/4  Moulton, Alex (factory rim);363.7;0
17x1 1/4  Sun M17 Moulton;364;0
16x1 3/8  Alesa Alloy 219 Brompton standard rim;345;0
16x1 3/8  Sun M14A;330;0
400A  Rigida AS 26 FL (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);329.3;0
16x1.75  Alex DM24;288;0
16x1.75  Araya GP-710;262.8;0
16x1.75  Rigida M 19 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);294.95;0
16x1.75  Rigida M 21 (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);294.95;0
