Name;dL;WL;dR;WR
Sachs VT5000 drum brake ;90;37;90;19
Sanshin low flange (like Specialized);38;33;38;33
Sanshin low flange (like Specialized);44.5;35.5;44.5;20
Sanshin low flange (like Specialized);44.5;33.5;44.5;22
Sanshin medium flange (like Specialized);43;33;43;33
Sanshin medium flange (like Specialized);46;28;46;22
Sanshin medium flange (like Specialized);46;33;46;18
Schwinn unicycle hub;62.1;37.7;62.1;37.7
Shimano 105  HB-5501;38;38.65;38;38.65
Shimano 105 FH-5500;45;32.5;45;20.5
Shimano 105SC FH-1055 7S;45;37.3;45;20.7
Shimano 105SC HB-1055-F;38;36.3;38;36.3
Shimano 200GS FH-HG20-QR;45;38.2;45;20.2
Shimano 200GS FH-HG20-QR;45;36.2;45;22.2
Shimano 400CX FH-C040;45;36.2;45;22.2
Shimano 400CX HB-C400;38;36.3;38;36.3
Shimano 600 FH-6400 6S;45;35;45;19
Shimano 600 Ultegra FH-6401 7S;45;37.3;45;20.7
Shimano 600 Ultegra FH-6402 8S;45;37.1;45;20.9
Shimano 600 Ultegra HB-6400;38;36.3;38;36.3
Shimano 700CX FH-C070;45;35.3;45;22.7
Shimano 700CX HB-C700;38;36.3;38;36.3
Shimano Acera FH-M290;45;38.1;45;22.5
Shimano Acera FH-M290;45;35.6;45;25
Shimano Acera HB-M290;38;35.8;38;35.8
Shimano Alivio FH-MC18AZ;45;34.5;45;21.5
Shimano Alivio FH-R050;45;38.1;45;22.5
Shimano Alivio FH-R050;45;35.6;45;25
Shimano Altus C90 FH-CT90;45;37.6;45;23
Shimano Altus C90 FH-CT90;45;38.1;45;22.5
Shimano Altus C90 FH-CT90;45;35.6;45;25
Shimano Altus C90 FH-CT90;45;35.6;45;25
Shimano Altus C90 HB-CT90;38;35.8;38;35.8
Shimano Deore DX cassette;45;38.1;45;22.5
Shimano Deore HB-M510;42;34.5;42;34.5
Shimano Deore HB-M530;38;35.8;38;35.8
Shimano Deore LX & STX-RC. FH-R080 ;45;37.9;45;22.7
Shimano Deore LX FH-563;45;37.6;45;23
Shimano Deore LX FH-563;45;35.1;45;25.5
Shimano Deore LX FH-565;45;37.9;45;22.7
Shimano Deore LX FH-570;45;36.8;45;23.2
Shimano Deore LX HB-M563, HB-M564, HB-M570;38;35.8;38;35.8
Shimano Deore XT FH-M737;45;36.8;45;23.2
Shimano Deore XT FH-M756L;61;32;61;18.5
Shimano Deore XT HB-M737, HB-M738;38;35.8;38;35.8
Shimano Deore XT HB-M756L;61;21.1;61;31.7
Shimano Dura-Ace 10spd 7800;44;38;44;22.2
Shimano Dura-Ace 7800;40;38.65;40;38.65
Shimano Dura-Ace FH-7400 6S;44;36.8;44;23.2
Shimano Dura-Ace FH-7400 7S;44;38.15;44;21.85
Shimano Dura-Ace FH-7402, 7403 8S;44;36.9;44;21.1
Shimano Dura-Ace FH-7700 9S;44;36.9;44;21.1
Shimano Dura-Ace low flange, all;38;37;38;37
Shimano Dura-Ace re-spaced to track;44;28.95;44;29
Shimano Dura-Ace track high flange;67;34;67;34
Shimano Dura-Ace track high flange;67;41;67;30
Shimano Dura-Ace track small flange;38;35.8;38;35.77
Shimano Dura-Ace track small flange;44;37.48;44;31.71
Shimano Exage FH-HG40, FH-HG50;45;38.2;45;20.2
Shimano Exage FH-HG40, FH-HG50;45;36.2;45;22.2
Shimano Exage FH-HG40, FH-HG50;45;33.7;45;24.7
Shimano Exage HB-RM50-F, HB-RM50;38;36.3;38;36.3
Shimano FH-RM40-8;45;35.6;45;25
Shimano HB-NX30 hubdynamo;80;28;80;28
Shimano Inter-L hub dynamo ;80;29;80;29
Shimano Nexave;52;25;52;33
Shimano Nexave;45;30;45;21
Shimano Nexus SG-7R45 7SPD INTER-7 ROLLER BRAKE;87;29.23;87;25.38
Shimano Nexus 4S coaster brake SG-4C30;84;31.15;84;23.45
Shimano Nexus 4S roller brake SG-4R31;84;27.7;84;33.55
Shimano Nexus 7S coaster brake SG-7C21;87;29.73;87;24.7
Shimano Nexus 7S roller brake SG-7R40;87;31.15;87;23.45
Shimano Nexus HB-IM40 front, roller brake;52;26;52;33
Shimano Nexus HB-NX70 Disc hubdynamo;80;23.2;80;28.8
Shimano Nexus Inter-8 8-speed internal;92.6;29.3;92.6;24.9
Shimano Nexus Inter-8 8-speed internal SG-8R20;92.6;30.25;92.6;24.85
Shimano Nexus Inter-8 8-speed internal without roller brake locknut;92.6;32.9;92.6;21.3
Shimano Nexus Inter-L HB-NX30 hub dynamo;80;28.5;80;28.5
Shimano Nexus Sport DH-3N70 hub dynamo;74;30;74;30
Shimano Nexus Sport DH-3D70 hub dynamo (disc brake);74;22.3;74;30
Shimano parallax ;38;34.5;38;34.5
Shimano RSX FH-A410;45;37.5;45;20.7
Shimano RSX FH-A410;45;36;45;22.2
Shimano RSX FH-A416;45;35.83;45;18.84
Shimano RSX FH-A416, respaced from 130mm to 135;45;33.33;45;21.34
Shimano RSX HB-A410;38;36.3;38;36.3
Shimano RX100 FH-A550;45;37.3;45;20.7
Shimano RX100 HB-A550-F;38;36.3;38;36.3
Shimano Santé;45;36.8;45;20.2
Shimano Santé ;45;35.5;45;35.5
Shimano STX FH-MC32;45;38.1;45;22.5
Shimano STX FH-MC32;45;35.6;45;25
Shimano STX FH-R050;45;38.1;45;22.5
Shimano STX FH-R050;45;35.6;45;25
Shimano STX HB-MC32;38;35.8;38;35.8
Shimano STX-RC FH-MC33;45;38.1;45;22.5
Shimano STX-RC FH-MC33;45;35.6;45;25
Shimano STX-RC. HB-MC33-S, HB-MC33;38;35.8;38;35.8
Shimano tandem FH-FH08;63;28;63;22
Shimano tandem HB-HF08;63;35;63;35
Shimano Ultegra 9 spd FH-6500;44;38;44;18
Shimano Ultegra DH-2N70 hub dynamo;74;28.5;74;28.5
Shimano Ultegra FH-6500 9S;45;37.1;45;20.9
Shimano Ultegra HB-6500;38;36.3;38;36.3
Shimano Ultegra HB-6500A;38;38.65;38;38.65
Shimano XT Disc;61;22;61;33
Shimano XT Disc;61;34;61;19
Shimano XT Disc FH-M756;45;37;45;24.7
Shimano XT Disc HB-M765;44;26.45;38;37.45
Shimano XT FH-M750;45;34.5;45;21
Shimano XT FH-M760;45;37.55;45;21.75
Shimano XT HB-M751;38;35.5;38;35.5
Shimano XT HB-M753;38;35;38;35
Shimano XT FH-M752;44;37;44;21
Shimano XT HB-M760;38;34.15;38;34.15
Shimano XT-II, DX;38;35.8;38;35.8
Shimano XT-II, DX;45;35.6;45;25
Shimano XTR FH-M950;45;36.8;45;23.2
Shimano XTR FH-M965 Disc;45;35.35;45;23.05
Shimano XTR HB-M950;38;35.8;38;35.8
Shimano XTR HB-M965 Disc;43.4;24.8;38;35.8
Shogun Little Sumo;40;30;40;30
Shogun Zero Carbon;46;33;46;33
SON 20-28" hubdynamo (2000 model) ;70;30;70;30
SON 20-28" hubdynamo-disc brake (2000 model);70;21.5;70;30
Specialized low flange ;38;33;38;33
Specialized low flange ;44.5;35.5;44.5;20
Specialized low flange ;44.5;33.5;44.5;22
Specialized medium flange ;43;33;43;33
Specialized medium flange ;46;28;46;22
Specialized medium flange ;46;33;46;18
Specialized skraxle by DT;36;34.8;36;34.8
Specialized Stout;45;37;45;37
Specialized Y2K by DT;36;34.8;36;34.8
Specialized Y2K by DT;45;37.7;45;16.7
Specialized Y2K by DT;45;35.2;45;19.2
Speed Tec;38;38;54;18
Speed Tec disc;54;20;54;32
Speed Tec disc;54;34;54;18
Spot Single Speed;48;35;48;35
Spot single speed;48;42;48;41
SR sealed bearing;40;34.3;40;34.3
SRAM 2001 non-disc hubs;39;29.6;39;29.6
SRAM 2001 non-disc hubs;45;30.7;45;20.5
SRAM 5 speed hub MH 5205 w/no brake;75;29;75;29
SRAM 5 speed hub MH 5215 w/coaster brake;75;39.5;75;28.5
SRAM 5 speed hub MH 5225 w/drum brake;90;29.5;90;30.5
SRAM 9.0;39;30;39;30
SRAM 9.0SL disc;45;22.95;45;27.75
SRAM 9.0SL, Disc;45;30.7;45;20.5
SRAM Dual Drive 27/24;67;33;67;18
SRAM Dual Drive 27/24 disc brake;67;33;67;18
SRAM Dual Drive 27/24 I-brake;67;33;67;18
SRAM i-Motion 9 Gearhub (with back pedal brake);93.6;26.5;93.6;31.5
SRAM Neos, Centera;45;27.4;45;23.8
SRAM Neos, Centera, Traax;45;29.9;45;21.3
SRAM Plasma, Quartz, Neos, Centera;45;30.4;45;20.8
SRAM Plasma, Quartz, Neos, Centera, Traax;39;29.6;39;29.6
SRAM Power Disc: Plasma, Quartz;62.5;30.4;62.5;20.8
SRAM Power Disc: Quartz;62.5;32.9;62.5;18.3
SRAM Quartz, Neos, Centera;45;32.9;45;18.3
SRAM Sparc;194;27.5;194;27.5
SRAM Spectro 12 speed hub with coaster brake;105;37.9;132;20.7
SRAM Spectro 3 speed hum MH 3115 w/no brake;58;25.5;58;24.5
SRAM Spectro 3 speed hum MH 3125 w/coaster brake;58;25.5;58;24.5
SRAM Spectro 3 speed hum MH 3125 w/drum brake;89;32.5;89;25.5
SRAM Spectro 3x7: 3s hub with 7s cassette;67;35;67;20
SRAM Spectro 7 speed hub MH 7205 w/no brake;75;34.5;75;34
SRAM Spectro 7 speed hub MH 7215 w/coaster brake;75;34;75;33
SRAM Spectro 7 speed hub MH 7225 w/drum brake;90;35.7;90;34.8
SRAM Traax;45;30.8;45;20.4
Sturmey-Archer 3 spd ;65;27;65;27
Sturmey-Archer dyno ;102.5;27;42.5;27
Sturmey-Archer dyno ;101;40;65;25.5
Sturmey-Archer Elite ST drum ;90;41.5;90;18.5
Sturmey-Archer hi brake ;90;27;90;27
Sturmey-Archer hi brake ;82;40;82;20
Sunn by DT Swiss;45;37.15;45;19.7
Sun-Ringlé 439/439 Lite;52;34;52;21
Sun-Ringlé ABBAH / Lawwill DH (12mm thru axle);54.5;35.5;54.5;20.5
Sun-Ringlé ABBAH S.O.S. DH (20mm thru axle);59.5;24.5;54.5;35.5
Sun-Ringlé ABBAH S.O.S. XC;59.5;34.5;59.5;21
Sun-Ringlé ABBAH S.O.S. XC (9mm axle ends);59.5;21;45.5;35
Sun-Ringlé Atilla the Hub;51;32.1;51;32.1
Sun-Ringlé Attila the hub (BMX);51;37.1;51;30.2
Sun-Ringlé SuperDuper Bubba ;46;34;46;34
Suntour 7 spd 135mm cass ;44.5;32;44.5;22
Suntour GPX;39;33;39;33
Suntour high flange track ;67;33;67;33
Suntour high flange track ;67;36;67;30
Suntour low flange ;44.5;35.5;44.5;20
Suntour low flange ;44.5;31.5;44.5;24
Suntour micro drive 7 spd ;44.5;31;44.5;20.5
Suntour micro drive 8 spd ;44.5;33.5;44.5;21.5
Suntour Microlight;36;34;36;34
Suntour Sprint;39;33;39;33
Suntour Sprint low flange;44;36;44;19
Suntour Superbe low flange;44.5;36;44.5;19
Suntour Superbe Pro;39;33;39;33
Suntour Superbe Pro cassette;44.5;37;44.5;17
Suntour XC-9000;39;33;39;33
Suntour XC-9000, XCD6000, XCD9000;45;34;45;21
Suntour XCD-6000;36;33;36;33
Surly "New" disc;58;22.5;58;32
Surly "New" disc;58;34;58;38.5
Surly "New" single speed MTB hub;54;38.4;54;38.4
Surly "New" track hub;54;32.2;54;32.2
Surly "New" track hub;54;30.1;54;30.1
Surly 1x1;43;33;43;33
Surly 1x1 single speed;43;39;43;39
Suzue front high flange;62;31;62;31
Suzue Sil-SP;62.5;31.3;62.5;31.3
Suzue Sil-SP;62.5;27.3;62.5;27.3
Suzue Tandem;63;27;63;27
Suzue unicycle hub;63.9;30.55;63.9;30.55
Syncros disc brake ;59.8;22.1;39.8;34.3
Syncros Hardcore;39.8;34.3;39.8;34.3
TNT 8-speed ;32;35;45;18
TNT 8-speed ;32;35;45;22
TNT standard;32;37.5;32;37.5
TNT suspension;42;39;42;39
TNT suspension 8-speed ;45;33;45;19
Tomo;41;35;41;35
TruVative Disc Sealex SL FH-DISCX-SL-00;61;23.6;45;31.9
TruVative Sealex SL Disc RH-DISCX-SL-00;61;34.1;61;19.2
TruVative Sealex SL FH-SEAL-SL-00;38;34;38;34
TruVative Sealex SL RH-SEAL-SL-00;45;32;61;19.5
TruVative Sealex XR FH-SEAL-XR-00;38;34;38;34
TruVative Sealex XR RH-SEAL-XR-00;45;32;61;19.5
Tune King disc 2000;56;22;56;35
Tune King disc 99 DH;56;19;56;34
Tune King Gustav M 99;59;20;59;31
Tune King Gustav M 99;59;31;59;20
Tune King Louise 99;56;24;56;35
Tune King MK disc 99 DH;55.5;25;55.5;34
Tune Kong disc;56;36;56;20
Tune Kong Louise 99;56;31;56;20
Tune MAG180/200/215  183,205,225gr;41;39;54;17
Tune MAG180/200/215  183,205,225gr;41;37;54;20
Tune MIG 66 74gr;35.6;34;35.6;34
Tune MIG 75;36;36;36;36
Tune Power Tap Prologue;78;36.2;66;16.7
Tune SandWitch;51.6;42;51.6;42
Ultimate Machine Co. road;32;34;32;34
Ultimate Machine Co., small left flange;32;34;43.5;21
Ultimate Machine Co., two equal flange diameters;43.5;34;43.5;21
Union/Marwi WingIII;81;28;81;28
Wheelring wheelchair;44;32;44;32
Wheelsmith Bullet ;38;40;38;40
Wheelsmith Bullet cass. ;44;35;44;20
White Industries cassette;54;34.3;54;20.1
White Industries LTA cassette;37;36;54.5;18.72
White Industries cassette;54;34.5;54;21.5
White Industries disc;74;21;74;32
White Industries ENO eccentric flip-flop;48;32;48;32
White Industries Hayes disc;67;36;67;21
White Industries Hayes disc DH;75;22;75;35
White Industries road;34;38;34;38
White Industries Ti ;34;35.5;34;35.5
White Industries Ti ;54;29.5;54;24.5
White Industries Ti ;54;37;54;19
White Industries Ti ;54;27;54;27
White Industries Ti ;54;32;54;22
White Industries Ti ;54;36;54;18
White Industries Ti ;54;29;54;25
White Industries Ti ;54;34;54;20
White Industries Tracker ;40;35.5;40;35.5
Wilderness Trails;59;27;59;27
Wilderness Trails;59;24.5;59;29.5
Wilderness Trails classic narrow ;47;36;47;36
Wilderness Trails classic standard ;47;39;47;39
Wilderness Trails classic wide ;47;45;47;45
Wilderness Trails Momentum ;40;34.5;40;34.5
Wilderness Trails New Paradigm large flange;45;39;45;39
Wilderness Trails New Paradigm small flange;42.5;39;42.5;39
Winners lo flange ;36;35;36;35
Winners low flange ;41.5;36;41.5;20.5
Woodman Bill LFY for Cannondale Lefty fork;58;16;58;35
WTB classic WTB 7 ;59;30;59;25
WTB classic WTB 7 ;59;28;59;27
WTB classic WTB 8 ;59;31.5;59;23.5
WTB classic WTB 8 ;59;27.5;59;27.5
WTB New Paradigm 7-speed cassette ;45;31;45;25
WTB New Paradigm 7-speed cassette ;45;38.5;45;27.5
WTB New Paradigm 8-speed cassette ;45;33;45;23
WTB New Paradigm 8-speed cassette ;45;35;45;21
Xero Lite 16H;44;35.3;37;19.1
XS BMX;38;35;38;35
XS BMX;45;27;45;27
XS BMX high flange;63;33;63;33
XS BMX high flange;63;29;63;29
Zipp ;43;35;43;20
Zipp 100;43;36;43;36
Zipp 217;43;37;43;20
