Name;dL;WL;dR;WR
Campagnolo 1980's, 90's Chorus, C-Record, Athena low flange;39;34;39;34
Campagnolo 1999+ Athena, Veloce, Mirage;38.5;34.1;38.5;34.1
Campagnolo 1999+ Athena, Veloce, Mirage;44;36.5;44;16.7
Campagnolo 1999+ Avanti;40;33.6;40;33.6
Campagnolo 1999+ Avanti;44;36.5;44;16.7
Campagnolo 8-speed cassette;44.5;36;44.5;17
Campagnolo all 120mm hi-flange models ;67;33;67;24
Campagnolo all 126mm hi-flange models ;67;36;67;21
Campagnolo all hi-flange models;67;34;67;34
Campagnolo Athena, Chorus, Nuovo Record low flange;44;37;44;20
Campagnolo Centaur 8 spd cassette;44.5;35.5;44.5;18
Campagnolo Centaur, Euclid;44.5;36;44.5;20.5
Campagnolo Chorus, Daytona OS;39;35.4;39;35.4
Campagnolo C-Record low flange;44.5;36;44.5;21
Campagnolo Hi-Lo;44;33;67;24
Campagnolo Nuovo Record low flange;38.5;35;38.5;35
Campagnolo Record;44;34;44;25
Campagnolo Record OS;39;35.35;39;35.4
Campagnolo Record, Chorus, Daytona OS;44;36.76;46;16.8
Campagnolo tandem ;65;31.5;65;31.5
Campagnolo tandem cassette;65;28;65;28
Campagnolo track hi-flange C Record ;67;35;67;30
Campagnolo track hi-flange Nuovo Record ;67;44;67;31
Campagnolo track low flange;44;44.5;44;31.5
Cannondale by DT Swiss;43.5;39.9;43.5;14.45
Cannondale by DT Swiss;43.5;37.4;43.5;19.95
Cannondale disc;57;35;45;19.2
Cannondale Lefty disc;58;18.35;45;31.56
Cannondale Moto120;52.6;37.5;52.6;16.6
Chris King BMX;40;34;40;34
Chris King cassette MTB;44;36;53;21
Chris King cassette road;44;38.5;53;18.5
Chris King Classic 140mm;44;33.5;53;23.5
Chris King Classic front narrow;40;34;40;34
Chris King Classic front wide;40;37.5;40;37.5
Chris King Classic mountain;44;36;53;21
Chris King Classic road/cross;44;38.5;53;18.5
Chris King Disc 20mm;57.6;23.1;57.6;31.2
Chris King Disc ISO;57.6;22.5;57.6;30.4
Chris King Disc ISO;57.6;33.9;57.6;20.1
Chris King Disc Single Speed;53;33.7;53;33.7
Chris King Disc Single Speed;53;34.2;53;32
Chris King Disc Universal;53;23;53;31.5
Chris King Disc Universal 135mm;53;34;53;21
Chris King Disc Universal 140mm;53;31.5;53;23.5
Chris King Disc Universal 145mm;53;29;53;26
Chris King MTB;40;37.5;40;37.5
Chris King Rear BMX;44;30;53;27
Chris King Rear DiscGoTech;53;34;53;21
Chris King Rear DiscGoTech;53;31.5;53;23.5
Chris King Rear DiscGoTech;53;31.5;53;23.5
Chris King Road;40;34;40;34
Chris King Single Speed;53;33.7;53;33.7
Chris King Single Speed;53;33.7;53;33.7
Chris King Tandem;53;33.7;53;33.7
Chris King Tandem;53;29;53;26
Chris King Tandem;53;33.7;53;33.7
CODA ;39;37;39;37
Coda 900 disc;58;37;58;20
Coda 901 disc;58;20;44.5;35
Coda disc;52;18;40;38
Coda DT Hugi 98 disc;52.7;36;52.7;19
Coda Expert disc;58;19;45;30
Coda Expert disc;58;35;44.5;20
Coda Expert Non-disc;44.5;31;44.5;31
Coda Expert non-disc;44.5;35.5;44.5;18.5
Coda Expert road;44.5;38.5;44.5;14.5
Coda Moto disc;56;25;62;31
CORBIN DUPLEX coaster brake hub model 8;63.5;31.75;53.98;26.97
Corratec Carbon disc;51;19;39.5;34
Corratec Carbon disc;51;30;42;17
Corratec Jumper;55;35;55;35
Corratec Jumper;55;35;45;20
Danny's 12mm through axle;58;34.5;58;34.5
Decathlon by DT Swiss;36;35;36;35
Decathlon by DT Swiss;45;37.7;45;16.7
Decathlon by DT Swiss;45;35.2;45;19.2
Dengler;38;35;38;35
Dia-Compe Tsali ;39;37.2;39;37.2
DMR Revolver;41;36;41;36
DT Cerit;58;23;52;34.7
DT Cerit disc;58;33.25;52;20
DT Hugi 240;36;34.95;36;34.95
DT Hugi 240;45;37.7;45;16.7
DT Hugi 240;45;35.2;45;19.2
DT Hugi 240 Campy 9,10s;45;29.8;45;16.1
DT Hugi 240 disc;58;22;46;34.8
DT Hugi 240 disc;58;33.5;46;19.2
DT Hugi 240 FR;58;33.5;46.5;19.2
DT Hugi 240 FR 12mm through axle;58.5;25.8;58.5;25.8
DT Hugi 240 FR 12mm through axle;58.5;33.3;58.5;33.3
DT Hugi 240 road;45;29.8;45;16.1
DT Hugi 95;45.5;39.45;45.5;17.95
DT Hugi 95;45.5;37.4;45.5;20.05
DT Hugi 95 MTB;41;35;41;35
DT Hugi 95 road;39;34.5;39;34.5
DT Hugi 98;41;35;41;35
DT Hugi 98;45.5;39.9;45.5;17.55
DT Hugi 98;45.5;37.3;45.5;20.15
DT Hugi 98 Campy 9s;46;33.65;46;16.4
DT Hugi Formula;52.5;16.95;46;35.1
DT Hugi Formula disc;52.5;33.4;46;19.65
DT Hugi FR disc;58;22;52;30.2
DT Hugi FR disc;58;22;52;30.2
DT Hugi Gustav M 98;60;36.3;61;18.95
DT Hugi Gustav M 98;60;33;61;21
DT Hugi Gustav M 98 disc;60;23.65;61;34.85
DT Hugi Gustav M 98 disc DH;60;26.6;61;29.7
DT Hugi Hayes;58;23.1;46;34.4
DT Hugi Hayes DH;58;22.8;58;31.5
DT Hugi Hayes disc;58;33.25;46;19.75
DT Hugi Louise 99;58;39;47;19.65
DT Hugi Louise 99 disc;58;23.9;47;35.6
DT Hugi Magura Disc Gustav M;60;36.3;61;18.95
DT Hugi Magura Disc Louise;58;39;47;19.65
DT Hugi MTB;45;35;45;20.15
DT Hugi road Campagnolo compatible;46;33.65;46;16.4
DT Hugi road Shimano compatible;45;39.9;45;17.55
DT Hugi Sport;41;35;41;35
DT Hugi Sport;45.5;39.45;45.5;17.95
DT Hugi Sport;45.5;37.4;45.5;20.05
DT Hugi Tandem;60;34.5;60;34.5
DT Hugi Tandem Arai;60;34.25;60;19.45
DT Hugi Tandem Arai;60;31.25;60;21.45
DT Hugi Tandem Arai;60;28.75;60;23.95
DT Hugi Tandem disc;60;22.75;61;34.4
DT Hugi Tandem disc;60;31.25;60;21.45
DT Hugi Tandem disc;60;28.75;60;23.95
DT Onyx disc;58;23;48;34.7
DT Onyx disc;58;22.8;58;31.5
DT Onyx disc;58;33.25;47;20
DT Onyx Light;40;34.2;40;34.2
DT Onyx Normal;40;35.35;40;35.35
DT Swiss Onyx;46;32.1;46;17.5
DT Swiss Onyx;46;29.6;46;20
Edco;41;35;41;35
Edco;45;34;45;19
EMAG hub motor;178;20;178;20
Fimoco;42;33;42;33
Formula;48;33;48;21
Formula by DT Swiss;52.5;19.65;46;35.1
Formula by DT Swiss;52.5;33.4;46;19.65
Formula by Edco;51;18;51;34
Formula by Edco;51;32;51;20
Formula DH;45;22;45;33
Formula disc;48;19;48;38
Formula Engineering SP92, road straight pull spokes.;33;38.5;33;38.5
FRM FL-R TEAM CA (road only);35;34.5;35;34.5
FRM FL-R TEAM CA (road only);36;29;42;18
FRM FL-M TEAM (MTB);59;28.3;59;28.3
FRM FL-M TEAM (MTB);59;39.4;59;17.2
FRM FL-M TEAM DISC (MTB);59;22.9;59;33.7
FRM FL-M TEAM DISC (MTB);59;39.4;59;17.2
FRM "Lefty" FL-M TEAM DISC (MTB);59;22.9;59;33.7
FRM FL-R PRO & FL-M PRO (road & MTB);38;34.4;38;34.4
FRM FL-R PRO (road only);38;37.7;45;18.6
FRM FL-M PRO (MTB);38;56.3;45;21.1
FRM FL-M PRO DISC;44;22.8;38;33.7
FRM FL-M PRO DISC;45;33.9;45;20.4
FRM Comp & Pro;34;34.5;34;34.5
FRM Comp & Pro;37.5;34;41;18.5
FRM Comp & Pro;37.5;36.5;41;21
FRM Feather Front;35;34.5;35;34.5
FRM FL Disc Comp & Pro;44;23;38;33.4
FRM FL Disc Comp & Pro;45;34.4;45;21
FRM Team SL Rear;37.5;34;41;18.5
Giant disc;58;19;54;34
Giant disc;58;33;54;20
Gipiemme Special (Campy low flange copy);40.2;35.1;40.2;35.1
Gipiemme Special (Campy low flange copy);44.5;36.8;44.5;20.3
Gipiemme Special (respaced from road to track);44.5;29.5;44.5;27.9
Goldtec Track Hub;66;36;66;36
Goldtec-Ti;45;34;45;18
GT;38;36;38;36
GT;45;35;45;22
Hadley 12mm through axle;60;34;60;20
Hadley Arai;56;30;56;30
Hadley H500 DH;60;22.6;60;31.4
Hadley Santa Cruz 14mm through axle;60;33.5;60;33.5
Hanebrink LT 8 disc;55;17;55;43
Harris Cyclery High-flange track hub;62;34.5;62;34.5
Harris Cyclery High-flange track hub;62;31;62;31
Hayes by EDCO;56;32.5;56;17.5
Hayes Elite disc;58;23;48;34.7
Hayes Elite disc;58;33.25;47;20
Hayes Elite disc DH;58;22.8;58;31.5
Hayes Superlight disc;58;22;46;34.8
Hayes Superlight disc;58;33.5;46;19.2
Hershey Naked ;31.5;32;31.5;32
Hershey Standard Ti ;31.5;34;31.5;34
Hershey Suspension ;44.5;34;44.5;34
Hershey Ti ;36.5;33;48;21
Heylight;33;32;33;32
Heylight;45;33;44;20
Heylight disc;46;24;33;26
Heylight disc;46;39;44;19
Heylight Mini;29;34;29;34
Hi-E cassette Hi-Lo flange, custom narrow spacing;34.7;32.8;54;19
Hope Big'Un;62;20;62;25
Hope Big'Un;62;25;62;20
Hope Bulb;46;21;46;34
Hope Bulb;44;33;50;20
Hope Bulb IS2000;56;21;46.7;33
Hope Bulb IS2000;56;33;49;19
Hope disc;42;22;42;32
Hope disc;42;33;45;20
Hope Fatso ;41;34.5;41;34.5
Hope Sport disc;56;20;45;34
Hope Sport disc;45;33;45;20
Hope Super Ultralight ;25;34;25;34
Hope Suspension ;43;32;43;32
Hope tandem ;65;32.5;65;32.5
Hope tandem ;65;27.5;65;22.5
Hope Tech ;43;32;43;32
Hope Tech, narrower flanges;43;22.5;43;22.5
Hope Tech, Ultralight;34;34;34;34
Hope Ti-Glide disc;43;22;41;32.5
Hope Ti-Glide disc;43;33;44.5;20
Hugi ;45;37.5;45;20
