100	118644	48629	2513	7
200	775636	392543	23563	7
300	2613022	1140470	49933	6
400	6060436	2838859	137755	8
500	11377804	5195749	358218	13
600	19991378	9977009	742915	21
700	28041673	15068383	1135224	28
800	41776725	24627809	1506080	43
900	59345059	35508156	2548200	64
1000	79201209	48116504	3330663	91
1100	105409924	65819246	4987417	123
1200	129561873	86102434	6988366	150
1300	169230999	106357891	8066009	195
1400	204733254	130152548	8767212	238
1500	257261256	160501946	11355494	303
1600	303015424	196864081	14117279	361
1700	370425678	228207056	15273409	475
1800	438534079	280842990	19668298	567
1900	522858335	313398476	21549749	731
2000	618055372	388996945	25450375	806
2100	730437213	419532589	29703348	1047
2200	784020021	506597608	33545325	1109
2300	881369858	546067084	39152933	1369
2400	1012963797	667045955	45730725	1462
2500	1156951229	716841605	51601025	1871
2600	1282610611	829223644	59234889	1988
2700	1450609802	900380942	67312035	2451
2800	1596298898	1039110277	75597935	2437
2900	1790156225	1111162927	82617240	3123
3000	1957353580	1270762977	90415277	3185
100	100270486	47662676	675068	77
200	755183521	390074142	19364484	393
300	2109185133	1133584952	39194576	1132
400	5214968134	2826726747	121785580	2583
100	100163774	47639644	644668	77
200	754682329	390176254	19313272	391
300	2109898062	1133646607	39394764	1129
400	5215008995	2824954328	110705338	2584
500	9297404945	5158312569	313446310	5145
600	16730082653	9971094540	729649469	11155
700	25005717557	15055516806	1027886615	19019
800	38582924437	24627386119	1465657817	33252
900	56344663509	35548621043	2374683740	54317
