100	1172722	533973	15356	7
200	9313829	4250213	272192	10
300	31361084	15149654	1140151	15
400	74252014	34445679	1710271	22
500	144924306	70826559	8750932	45
600	250315366	120889740	18004803	71
700	397362697	196589612	27438891	119
800	593003806	316866631	38761046	235
900	844176187	456460613	64812078	385
1000	1157817341	663070410	86633337	575
1100	1540864767	840941587	116189628	786
1200	2000255966	1222505485	152090775	1024
1300	2542928439	1392003522	194937797	1327
1400	3175819694	1842036494	245610799	1718
1500	3905867226	2165161519	304511092	2206
1600	4740008546	2926796597	372346335	2811
1700	5685181154	3209992131	450604115	3674
1800	6748322518	3922499285	538811899	4394
1900	7936370224	4557550151	638855319	5776
2000	9256261605	5397289200	751194340	6245
2100	10714934422	6274022753	876478056	8376
2200	12319325873	7200701547	1015843692	9165
2300	14076373735	8314265228	1169802568	11321
2400	15993015167	10015808248	1340379375	11544
2500	18076188179	10716982243	1527610866	14818
2600	20332829725	12047440313	1731031408	15714
2700	22769877772	13505971273	1953786727	18937
2800	25394269261	15621252012	2195023849	18978
2900	28212942523	16747394372	2456696392	23835
3000	31232834155	18836547246	2739497033	24859
100	1172485082	533728762	15170035	384
200	9313561561	4258169158	271299955	2190
300	31360816038	15165377163	1100199701	8454
400	74251745085	34474810815	1742906928	17456
500	144924035393	70812687224	8717855065	39733
600	250315095118	120912156080	18022751105	65716
700	397362427115	196539536661	27426700450	113689
800	593003536211	317111311222	38764066796	230641
900	844175920363	456280539549	64830587116	379633
