0	723	0	20	6
10	51302	2000	45	6
20	382845	16000	122	6
30	1271195	54019	180	6
40	2992066	128020	328	6
50	5821947	250047	466	7
60	10036623	432129	962	8
70	15912104	686179	1769	7
80	23724384	1024358	3629	9
90	33749467	1458431	22704	11
100	46263350	2000530	65433	14
110	61542033	2662846	85726	17
120	79860674	3457307	112746	22
130	101496887	4395804	140915	26
140	126725902	5490482	178299	32
150	155823715	6753465	216236	38
160	189066330	8196327	264906	45
170	226729744	9831426	313846	53
180	269090083	11670600	378032	61
190	316423098	13725511	437807	72
200	369004912	16009982	515992	83
210	427111527	18533338	590169	95
220	491018943	21309209	685483	108
230	561003160	24349520	775927	123
240	637340175	27664805	892056	139
250	720304365	31269078	994696	156
260	810176473	35173577	1127471	175
270	907227879	39389890	1253917	195
280	1011736089	43931120	1409982	217
290	1123977094	48810495	1551506	242
300	1244226903	54032237	1733471	266
310	1372761637	59619943	1895090	293
320	1509857046	65575840	2094069	322
330	1655789254	71917581	2287298	352
340	1810834265	78658471	2509978	385
350	1975268074	85803739	2721558	419
360	2149366811	93371704	2981968	455
370	2333406221	101369819	3218875	494
380	2527662426	109805169	3501442	535
390	2732411441	118711966	3763961	578
400	2947929253	128080884	4081820	623
410	3174491989	137927999	4371381	670
420	3412375403	148268929	4721630	719
430	3661855616	159108396	5040446	771
440	3923208630	170474843	5425706	826
450	4196710568	182365992	5771773	883
460	4482637185	194795511	6190761	944
470	4781264600	207777245	6575997	1006
480	5092868941	221324062	7032510	1070
490	5417725957	235445959	7446558	1138
500	5756111773	250159763	7945727	1209
510	6108302390	265560315	8394471	1285
520	6474573934	281393872	8934084	1360
530	6855202151	297940818	9421616	1439
540	7250463171	315128686	10001200	1521
550	7660633113	332961012	10526024	1607
560	8085987734	351455768	11148032	1696
570	8526803153	370620635	11711684	1788
580	8983355500	390473839	12380964	1884
590	9455920520	411006496	12984552	1981
600	9944774342	432276167	13698977	2084
610	10450193088	454248707	14347569	2189
620	10972452513	476960149	15109447	2299
630	11511828860	500416362	15799873	2411
640	12068597885	524620349	16618715	2528
650	12643035714	549603033	17350572	2647
660	13235418466	575361581	18218872	2772
670	13846021891	601896146	19000911	2899
680	14475122119	629271140	19918839	3031
690	15122995268	657436870	20749199	3165
700	15789917097	686440649	21725237	3307
710	16476163850	716285154	22601655	3449
720	17182011280	746972383	23639267	3596
730	17907735632	778543869	24573709	3756
740	18653612664	810967119	25670690	3915
750	19419913242	844316048	26652209	4064
760	20206923929	878515648	27806799	4228
770	21014915290	913646743	28848399	4396
780	21844165920	949754137	30060440	4571
790	22694946911	986710174	31155147	4750
800	23567536828	1024658535	32436064	4930
810	24462211426	1063558719	33580288	5118
820	25379246950	1103436878	34920748	5311
830	26318919146	1144299912	36127142	5506
840	27281504268	1186173686	37533107	5707
850	28267278063	1229046789	38793593	5912
860	29276516788	1272966083	40266557	6125
870	30309496187	1317847684	41587504	6341
880	31366492511	1363827075	43133286	6561
890	32447781509	1410854393	44518291	6787
900	33553639436	1458935401	46134195	7019
910	34684342036	1508131144	47577348	7255
920	35840165564	1558388720	49264979	7497
930	37021385772	1609765230	50777184	7741
940	38228278902	1662234136	52539583	7995
950	39461120831	1715883144	54119635	8252
960	40720187435	1770620376	55957592	8513
970	42005754964	1826530665	57601430	8780
980	43318099173	1883596991	59519800	9058
990	44657496303	1941837045	61229347	9336
1000	46024222115	2001318926	63229087	9625
