0	721	0	17	6
10	16170	2000	42	6
20	106983	16005	118	6
30	345004	54000	184	6
40	801944	128027	324	6
50	1550295	250015	489	6
60	2661839	432027	746	6
70	4208590	686109	1449	7
80	6262541	1024143	4355	6
90	8895695	1458179	18949	7
100	12180047	2000237	63160	8
110	16187597	2662461	83525	10
120	20989512	3456218	113190	11
130	26659393	4394357	144261	13
140	33268478	5488328	177137	16
150	40888760	6750808	216821	18
160	49592244	8192567	338487	22
170	59450927	9826574	347806	25
180	70536934	11664724	391088	29
190	82922020	13718538	7182258	34
200	96678304	16001561	682706	38
210	111877790	18523133	773318	44
220	128592477	21297139	1866711	49
230	146894360	24336679	894379	56
240	166855445	27650729	1270893	63
250	188546104	31251980	1177760	70
260	212043082	35153413	1397261	78
270	237413756	39372336	1764161	88
280	264731634	43908008	2112264	97
290	294068709	48782132	3995916	108
300	325496986	54002737	2555190	118
310	359088590	59587744	3479402	130
320	394915266	65539959	3893981	143
330	433049142	71879622	4421442	157
340	473562223	78610203	4702003	170
350	516526499	85752709	48850549	189
360	562014103	93319120	21584890	202
370	610096781	101314310	34719282	220
380	660846655	109748148	63170012	255
390	714335736	118649718	42982348	257
400	770636017	128008486	53644566	278
410	829819619	137851500	64587126	301
420	891958301	148181531	73948904	323
430	957124180	159037456	77295832	345
440	1025389261	170380307	89506568	372
450	1096825668	182261398	99301956	397
460	1171505149	194677758	110058733	423
470	1249499831	207662997	120854280	453
480	1330881838	221197818	133805550	484
490	1415722920	235307566	148622665	517
500	1504095205	250008527	163089815	547
510	1596070691	265307845	133535946	638
520	1691721494	281234864	186237271	616
530	1791119377	297770689	193999905	652
540	1894336462	314935926	191482893	685
550	2001444870	332776553	209937995	729
560	2112516358	351253508	221563259	772
570	2227623042	370408438	230308174	814
580	2346837052	390234002	235328002	852
590	2470230137	410816117	249826709	897
600	2597874424	432026975	258854761	949
610	2729842034	453983468	270944533	996
620	2866204721	476669695	284496444	1038
630	3007034733	500140836	297957661	1094
640	3152403822	524319914	312417286	1152
650	3302384108	549285895	323490170	1207
660	3457047722	575009429	342643860	1257
670	3616466408	601542618	330369977	1307
680	3780712300	628901430	368196297	1381
690	3949857512	657052058	391578806	1445
700	4123973809	686020092	360934002	1566
710	4303133418	715877156	427371592	1570
720	4487408110	746538927	446023953	1644
730	4676870134	778072533	471744341	1817
740	4871591242	810463472	495820934	2038
750	5071638293	843815269	520078611	2214
760	5277093861	877974724	547326295	2493
770	5488024506	913086340	573276597	2750
780	5704504820	949111643	598869289	3080
790	5926601893	986084556	627066201	3366
800	6154390298	1024004027	659737824	3721
810	6387941774	1062883829	684992289	4027
820	6627328571	1102737598	712099375	4275
830	6872622424	1143575956	616697377	4353
840	7123895632	1185409867	766470366	4712
850	7381219897	1228251622	794958969	4926
860	7644667489	1272113581	735680577	5113
870	7914310174	1317007743	852817306	5450
880	8190220171	1362945902	884609259	5687
890	8472469241	1409940042	948895467	5954
900	8761129648	1458001896	966953694	6269
910	9056273123	1507143452	1020686477	6555
920	9357971923	1557377961	1034490617	6815
930	9666297797	1608719698	1048420442	7102
940	9981323008	1661169472	1084988247	7451
950	10303119414	1714752419	1118710067	7756
960	10631758897	1769474049	1167531848	8087
970	10967313702	1825348139	1194305470	8417
980	11309855592	1882386009	1244892187	8807
990	11659456786	1940603983	1132112415	9026
1000	12016189087	2000004201	1312652212	9524
