0	723	0	18	7
10	51302	2000	44	6
20	382845	16000	114	6
30	1271195	54037	183	5
40	2992066	128083	324	5
50	5821947	250127	429	6
60	10036623	432217	1582	7
70	15912104	686521	2443	9
80	23724383	1024479	16669	11
90	33749467	1458755	55556	11
100	46263349	2001638	76723	14
110	61542031	2664047	99206	18
120	79860676	3457666	128722	21
130	101496887	4396242	161785	26
140	126725903	5491631	199761	32
150	155823715	6754407	241504	38
160	189066330	8197283	293893	45
170	226729744	9833530	346706	53
180	269090082	11670810	418573	62
190	316423096	13728425	487486	72
200	369004913	16010490	572662	83
210	427111528	18535736	654027	95
220	491018945	21310948	759356	108
230	561003159	24349656	860206	123
240	637340174	27667188	981288	139
250	720304367	31269478	1107552	157
260	810176473	35173877	1249069	176
270	907227879	39392796	1385121	196
280	1011736087	43931269	1557286	218
290	1123977094	48811560	1724624	243
300	1244226904	54036859	1909571	267
310	1372761637	59619426	2085472	294
320	1509857046	65577519	2305520	323
330	1655789254	71921503	2509926	354
340	1810834265	78658578	2748363	386
350	1975268075	85806837	2975637	420
360	2149366810	93372416	3246058	457
370	2333406221	101371631	3497888	496
380	2527662426	109812459	3795142	537
390	2732411442	118714697	4076420	579
400	2947929253	128090074	4407332	625
410	3174491991	137937038	4716354	671
420	3412375404	148271777	5081372	721
430	3661855616	159119633	5418258	773
440	3923208631	170476658	5819800	828
450	4196710569	182367854	6187466	886
460	4482637186	194806945	6623352	946
470	4781264600	207681518	7030429	1005
480	5092868941	221338228	7504101	1074
490	5417725956	235454879	7943629	1142
500	5756111774	250167214	8456679	1212
510	6108302390	265485110	8934577	1286
520	6474573934	281414216	9496066	1364
530	6855202151	297950234	10020075	1443
540	7250463171	315114682	10612834	1526
550	7660633114	332981321	11167079	1612
560	8085987735	351465529	11818657	1701
570	8526803153	370627510	12416617	1794
580	8983355500	390491678	13113268	1891
590	9455920520	411026494	13746368	1990
600	9944774344	432287632	14481900	2093
610	10450193089	454260886	15163579	2197
620	10972452514	476976336	15950158	2308
630	11511828861	500424823	16670603	2420
640	12068597886	524655682	17514756	2537
650	12643035714	549613155	18278223	2658
660	13235418465	575355299	19175674	2781
670	13846021891	601924172	19986717	2909
680	14475122119	629271012	20928542	3040
690	15122995269	657421459	21798286	3176
700	15789917098	686434723	22801359	3315
710	16476163849	716300766	23710657	3460
720	17182011281	747007807	24774239	3608
730	17907735632	778524090	25739707	3760
740	18653612664	810975051	26858874	3917
750	19419913244	844337460	27869414	4077
760	20206923932	878533799	29054469	4241
770	21014915290	913666851	30126597	4411
780	21844165921	949716311	31367467	4584
790	22694946913	986707006	32491632	4761
800	23567536830	1024708164	33802326	4946
810	24462211427	1063595125	34992011	5133
820	25379246952	1103493541	36361824	5326
830	26318919147	1144304149	37605667	5521
840	27281504270	1186167164	39047866	5722
850	28267278065	1229092227	40351416	5931
860	29276516790	1272999328	41845912	6142
870	30309496187	1317968101	43216630	6359
880	31366492512	1363844260	44799216	6577
890	32447781511	1410871188	46227922	6804
900	33553639437	1458967696	47871376	7036
910	34684342038	1508151459	49361372	7273
920	35840165567	1558412930	51098147	7514
930	37021385774	1609745266	52656697	7761
940	38228278905	1662278207	54452640	8014
950	39461120832	1715914223	56073769	8273
960	40720187438	1770692789	57956000	8536
970	42005754966	1826552993	59649823	8806
980	43318099176	1883684593	61601315	9082
990	44657496306	1941956422	63365827	9362
1000	46024222118	2001343069	65407378	9647
