80  9860057408  1024001115  5322513 2318
84  11397166725 1185413368  8810040 2681
88  13086340062 1362945721  12315539    3089
96  16949583218 1769473942  24979424    3993
100 19138004910 2000002315  33370623    4515
104 21507194892 2249730314  45552903    5068
108 24064329037 2519426500  41430155    5666
112 26816583329 2809860517  46744829    6317
116 29771133784 3121795345  53873342    7014
120 32934316291 3456016004  60030526    7758
124 36314952107 3813252976  495464315   8987
128 39919424878 4194308820  77711811    9410
132 43754891981 4599942850  93405218    10316
136 47828535119 5030917375  102537137   11274
140 52147530547 5488008398  113218361   12310
144 56719054005 5971974243  118803007   13346
148 61550281631 6483592570  222498348   14581
152 66648389420 7023623408  218682650   15744
156 72020553522 7592841128  795948408   17401
160 77673949617 8192017770  508578794   18529
164 83615753868 8821900236  259939607   19763
168 89853142301 9483301167  230909835   21224
172 96393290899 10176909258 399598607   22811
176 103243375671    10903566840 508358415   24522
180 110410572596    11664013734 497807850   26189
184 117902057552    12459020420 555139559   27952
188 125725006968    13289398836 2662558657  31361
192 133886596229    14155798122 742770609   31874
196 142394001672    15059093231 615186731   33768
200 151254399403    16000016323 462252882   35809
204 160474965314    16979354547 732958729   37990
208 170062875331    17997842774 1808534888  40971
212 180025305436    19056278377 1776712909  43299
216 190369431860    20155417925 1954212497  45971
220 201102430478    21296026567 4657475283  50274
224 212231476996    22478879333 3356468122  52031
228 223763747829    23704730901 2125630749  54136
232 235706418748    24974363669 2323806113  56815
236 248066665877    26288544979 2665448484  60047
240 260851665222    27648033586 3833573857  63848
320 616800325037    65536093252 4992474173  154178
480 2076643920103   221184319759    30753859488 537286
960 1657311342754   176947557963    30674016363 476751
